Year,Term,Importer,Exporter,Max_reported_quantity,Unit
2010,live,AD,ES,26.0,Number of specimens
2010,live,AE,AT,74.0,Number of specimens
2010,live,AE,BE,609.0,Number of specimens
2010,live,AE,BH,2258.0,Number of specimens
2010,live,AE,BJ,1912.0,Number of specimens
2010,live,AE,CA,2.0,Number of specimens
2010,live,AE,CD,800.0,Number of specimens
2010,live,AE,CG,202.0,Number of specimens
2010,live,AE,CN,55553.0,Number of specimens
2010,live,AE,CZ,8733.0,Number of specimens
2010,live,AE,DE,567.0,Number of specimens
2010,live,AE,DK,75.0,Number of specimens
2010,live,AE,ES,1595.0,Number of specimens
2010,live,AE,GB,788.0,Number of specimens
2010,live,AE,GH,4515.0,Number of specimens
2010,live,AE,GN,1200.0,Number of specimens
2010,live,AE,GT,1625.0,Number of specimens
2010,live,AE,GY,473.0,Number of specimens
2010,live,AE,ID,2244.0,Number of specimens
2010,live,AE,JO,800.0,Number of specimens
2010,live,AE,JP,104.0,Number of specimens
2010,live,AE,KR,4280.0,Number of specimens
2010,live,AE,MN,27.0,Number of specimens
2010,live,AE,MY,2038.0,Number of specimens
2010,live,AE,NI,200.0,Number of specimens
2010,live,AE,NL,3514.0,Number of specimens
2010,live,AE,PH,60.0,Number of specimens
2010,live,AE,QA,1.0,Number of specimens
2010,live,AE,RS,15.0,Number of specimens
2010,live,AE,RU,136.0,Number of specimens
2010,live,AE,SA,180.0,Number of specimens
2010,live,AE,SD,459.0,Number of specimens
2010,live,AE,SG,100.0,Number of specimens
2010,live,AE,SR,180.0,Number of specimens
2010,live,AE,SV,2200.0,Number of specimens
2010,live,AE,SY,1000.0,Number of specimens
2010,live,AE,TZ,97.0,Number of specimens
2010,live,AE,US,5297.0,Number of specimens
2010,live,AE,VN,350.0,Number of specimens
2010,live,AE,ZA,35789.0,Number of specimens
2010,live,AG,US,515.0,Number of specimens
2010,live,AM,AE,1165.0,Number of specimens
2010,live,AM,CD,20.0,Number of specimens
2010,live,AM,GR,20.0,Number of specimens
2010,live,AM,ID,40.0,Number of specimens
2010,live,AM,ML,353.0,Number of specimens
2010,live,AM,NL,2.0,Number of specimens
2010,live,AM,TZ,54.0,Number of specimens
2010,live,AN,BB,25.0,Number of specimens
2010,live,AN,DO,608.0,Number of specimens
2010,live,AN,GY,12.0,Number of specimens
2010,live,AN,ID,2500.0,Number of specimens
2010,live,AN,NL,28.0,Number of specimens
2010,live,AN,US,1.0,Number of specimens
2010,live,AO,ZA,1304.0,Number of specimens
2010,live,AR,EC,476.0,Number of specimens
2010,live,AR,ES,346.0,Number of specimens
2010,live,AR,FJ,2107.0,Number of specimens
2010,live,AR,ID,116.0,Number of specimens
2010,live,AR,SB,280.0,Number of specimens
2010,live,AR,SG,495.0,Number of specimens
2010,live,AR,US,4686.0,Number of specimens
2010,live,AR,ZA,6.0,Number of specimens
2010,live,AT,AE,4.0,Number of specimens
2010,live,AT,BJ,1628.0,Number of specimens
2010,live,AT,BR,68.0,Number of specimens
2010,live,AT,CH,26.0,Number of specimens
2010,live,AT,CM,240.0,Number of specimens
2010,live,AT,CR,46.0,Number of specimens
2010,live,AT,ID,4388.0,Number of specimens
2010,live,AT,KR,38800.0,Number of specimens
2010,live,AT,LY,1.0,Number of specimens
