Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,JP,PE,,6,,live,Number of specimens,T,D
2020,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,BD,NL,,,58,live,,T,C
2020,I,Pachypodium ambongense,,Gentianales,Apocynaceae,Pachypodium,JP,TH,,34,100,live,Number of specimens,T,D
2020,I,Pachypodium baronii,,Gentianales,Apocynaceae,Pachypodium,JP,TW,,8,,live,Number of specimens,T,A
2020,I,Pachypodium decaryi,,Gentianales,Apocynaceae,Pachypodium,CH,DE,,2,,live,Number of specimens,T,A
2020,I,Pachypodium decaryi,,Gentianales,Apocynaceae,Pachypodium,CH,DE,,,2,live,,T,D
2020,I,Pachypodium windsorii,,Gentianales,Apocynaceae,Pachypodium,JP,TH,,289,290,live,Number of specimens,T,A
2020,I,Pachypodium windsorii,,Gentianales,Apocynaceae,Pachypodium,JP,TW,,100,,live,Number of specimens,T,A
2020,I,Pachypodium windsorii,,Gentianales,Apocynaceae,Pachypodium,KR,TH,,,3,live,Number of specimens,T,A
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,IT,,4,,live,Number of specimens,T,A
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,IT,,,5,live,,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,NL,,41,,live,Number of specimens,T,A
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,JP,NL,CL,88,,live,Number of specimens,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,JP,NL,CL,,88,live,,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,KR,NL,,2000,,live,Number of specimens,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,KR,NL,,,2000,live,,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,CL,,,69000,live,Number of specimens,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,CL,,84000,,live,,T,D
2020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,RU,IT,,,10,live,,T,D
2020,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FO,NO,,,900,meat,kg,T,W
2020,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,NO,,,1224,meat,kg,T,W
2020,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,,202286.9,415260,meat,kg,T,W
2020,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,IS,,,1235000,meat,kg,T,W
2020,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,CH,DE,AT,2,,live,Number of specimens,T,C
2020,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,CH,DE,,,2,live,,T,C
2020,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,AT,1,,live,Number of specimens,T,C
2020,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,,,1,live,,T,C
2020,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,,4,live,Number of specimens,T,C
2020,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,GB,CH,,,1,live,Number of specimens,T,C
2020,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,DE,,10,,live,Number of specimens,T,C
2020,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,DE,,,10,live,,T,C
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,PK,AE,,4,,live,,T,C
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,MX,US,,,6,live,Number of specimens,T,I
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,OM,AE,,,9,live,Number of specimens,T,C
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,OM,AE,,5,,live,,T,C
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,PK,AE,,4,,live,,T,C
2020,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,CY,AE,XX,2,,live,,T,W
2020,I,Cacatua hybrid,Aves,Psittaciformes,Cacatuidae,Cacatua,BD,PT,AT,,1,live,,T,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,BD,ZA,,,3,live,,T,C
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,JP,SG,,1,,live,Number of specimens,T,D
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,KW,LB,ZA,,5,live,,T,
2020,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,QA,BE,NL,1,,live,Number of specimens,T,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,AE,AT,AT,,2,live,,T,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,AE,AT,,2,,live,Number of specimens,T,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,BD,ZA,,,1,live,,T,D
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,LB,ZA,,,12,live,,T,C
2020,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,TW,SG,,,1,live,Number of specimens,T,D
2020,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,CZ,LK,,,4,live,Number of specimens,T,C
2020,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,DE,PH,,7,1,live,,T,C
2020,I,Ariocarpus spp.,,Caryophyllales,Cactaceae,Ariocarpus,KP,JP,,,260,live,Number of specimens,T,D
2020,I,Ariocarpus spp.,,Caryophyllales,Cactaceae,Ariocarpus,KR,JP,,60,,live,Number of specimens,T,D
2020,I,Ariocarpus spp.,,Caryophyllales,Cactaceae,Ariocarpus,SG,TH,,,10,live,Number of specimens,T,D
2020,I,Ariocarpus spp.,,Caryophyllales,Cactaceae,Ariocarpus,US,TH,,,2,live,Number of specimens,T,D
